diagnosis,admissions,readmission_rate
825,39,0.1282051282051282
204,39,0.28205128205128205
430,39,0.10256410256410256
802,39,0.07692307692307693
527,38,0.02631578947368421
494,38,0.18421052631578946
47,37,0.05405405405405406
196,37,0.10810810810810811
710,37,0.10810810810810811
150,37,0.13513513513513514
607,35,0.02857142857142857
659,35,0.02857142857142857
794,35,0.08571428571428572
783,35,0.11428571428571428
473,34,0.11764705882352941
693,34,0.08823529411764706
?,33,0.2727272727272727
235,32,0.03125
522,32,0.0
958,32,0.03125
252,31,0.12903225806451613
255,31,0.16129032258064516
616,31,0.0
250.23,31,0.16129032258064516
533,30,0.06666666666666667
920,30,0.1
289,30,0.03333333333333333
305,30,0.06666666666666667
528,29,0.0
380,29,0.034482758620689655
307,29,0.10344827586206896
614,29,0.034482758620689655
446,29,0.06896551724137931
534,28,0.07142857142857142
461,28,0.03571428571428571
456,28,0.07142857142857142
200,28,0.17857142857142858
586,28,0.25
756,28,0.25
338,28,0.2857142857142857
250.43,28,0.25
661,28,0.0
644,28,0.14285714285714285
250.3,27,0.14814814814814814
617,27,0.037037037037037035
627,27,0.07407407407407407
680,27,0.037037037037037035
658,27,0.07407407407407407
621,27,0.0
226,27,0.0
242,27,0.14814814814814814
513,26,0.07692307692307693
312,25,0.12
591,25,0.08
281,25,0.32
357,25,0.12
601,25,0.0
156,24,0.041666666666666664
861,24,0.08333333333333333
480,24,0.041666666666666664
718,24,0.16666666666666666
376,24,0.125
355,24,0.041666666666666664
250.93,24,0.08333333333333333
967,24,0.5416666666666666
972,24,0.3333333333333333
736,24,0.16666666666666666
853,23,0.17391304347826086
656,23,0.0
378,23,0.0
581,23,0.13043478260869565
840,23,0.0
250.33,22,0.045454545454545456
705,22,0.13636363636363635
664,21,0.0
892,21,0.0
977,21,0.0
725,21,0.0
873,21,0.0
310,20,0.15
358,20,0.35
847,20,0.05
250.32,20,0.1
945,19,0.0
54,19,0.05263157894736842
989,19,0.10526315789473684
882,19,0.10526315789473684
867,19,0.0
V56,19,0.05263157894736842
323,19,0.0
171,18,0.16666666666666666
161,18,0.05555555555555555
695,18,0.05555555555555555
594,18,0.1111111111111111
952,18,0.05555555555555555
5,18,0.16666666666666666
152,18,0.2222222222222222
158,17,0.058823529411764705
475,17,0.23529411764705882
457,17,0.35294117647058826
454,17,0.0
935,17,0.29411764705882354
250.31,17,0.23529411764705882
297,17,0.17647058823529413
933,16,0.0625
843,16,0.0
184,16,0.0
845,16,0.0
251,16,0.125
350,16,0.25
201,16,0.0625
966,16,0.25
35,16,0.0
263,15,0.3333333333333333
199,15,0.2
244,15,0.0
464,15,0.13333333333333333
462,15,0.0
394,15,0.06666666666666667
212,15,0.0
230,15,0.26666666666666666
354,14,0.07142857142857142
368,14,0.14285714285714285
34,14,0.2857142857142857
521,14,0.0
717,14,0.14285714285714285
11,14,0.0
335,14,0.0
250.21,14,0.14285714285714285
306,14,0.14285714285714285
970,14,0.0
891,14,0.0
3,14,0.0
746,14,0.0
652,13,0.0
660,13,0.07692307692307693
362,13,0.0
810,13,0.0
V63,13,0.23076923076923078
250.5,13,0.0
737,13,0.3076923076923077
237,12,0.0
565,12,0.08333333333333333
V71,12,0.0
163,12,0.08333333333333333
865,12,0.0
864,12,0.0
250.9,12,0.0
66,12,0.0
708,12,0.0
337,12,0.0
526,12,0.3333333333333333
815,12,0.25
816,12,0.08333333333333333
383,12,0.08333333333333333
214,12,0.0
88,11,0.09090909090909091
964,11,0.2727272727272727
344,11,0.0
359,11,0.36363636363636365
342,11,0.0
759,11,0.0
641,11,0.0
685,11,0.2727272727272727
141,11,0.09090909090909091
320,11,0.0
78,11,0.0
854,10,0.2
41,10,0.0
395,10,0.0
445,10,0.3
866,10,0.0
747,10,0.0
646,10,0.3
883,10,0.0
792,10,0.2
541,10,0.2
341,10,0.2
836,10,0.0
745,10,0.0
551,10,0.3
731,10,0.8
117,10,0.0
686,10,0.0
917,9,0.0
968,9,0.1111111111111111
210,9,0.0
353,9,0.0
753,9,0.1111111111111111
831,9,0.0
195,9,0.2222222222222222
82,9,0.4444444444444444
588,9,0.2222222222222222
696,9,0.2222222222222222
272,9,0.0
992,9,0.0
991,8,0.0
983,8,0.0
271,8,1.0
751,8,0.0
570,8,0.25
709,8,0.25
324,8,0.0
388,8,0.0
94,8,0.25
192,8,0.0
175,8,0.0
382,8,0.125
814,8,0.0
800,8,0.0
934,8,0.125
579,7,0.0
49,7,0.0
483,7,0.0
397,7,0.14285714285714285
890,7,0.14285714285714285
846,7,0.0
893,7,0.0
734,7,0.0
136,7,0.0
524,7,0.0
223,7,0.0
622,7,0.0
663,7,0.0
360,6,0.0
796,6,0.16666666666666666
180,6,0.0
179,6,0.5
598,6,0.16666666666666666
603,6,0.0
215,6,0.0
228,6,0.0
361,6,0.0
379,6,0.0
921,6,0.0
470,6,0.0
942,6,0.16666666666666666
208,6,0.3333333333333333
806,6,0.16666666666666666
495,6,0.0
374,6,0.3333333333333333
881,6,0.0
273,6,0.0
694,6,0.16666666666666666
266,6,0.0
619,6,0.16666666666666666
142,6,0.0
245,6,0.0
529,6,0.16666666666666666
301,5,0.0
647,5,0.0
655,5,0.0
633,5,0.0
692,5,0.0
602,5,0.0
261,5,0.0
674,5,0.0
643,5,0.6
826,5,0.2
508,5,0.4
835,5,0.0
172,5,0.2
377,5,0.0
384,5,0.0
720,5,0.0
336,5,0.0
356,5,0.6
583,5,0.0
793,5,0.0
886,5,0.0
452,5,0.2
V45,5,0.0
463,5,0.0
913,5,0.0
500,5,0.0
862,5,0.0
187,5,0.0
797,5,0.0
963,5,0.0
936,4,0.0
916,4,0.0
39,4,0.0
923,4,0.0
405,4,0.0
928,4,0.5
501,4,0.0
868,4,0.0
863,4,0.0
173,4,0.0
506,4,0.75
250.52,4,0.0
250.53,4,0.0
706,4,0.0
31,4,0.5
683,4,0.0
474,4,0.0
370,4,0.0
897,4,0.0
944,4,0.0
955,4,0.0
385,4,0.0
322,4,0.0
250.91,4,0.0
236,4,0.0
308,4,0.0
352,4,0.25
131,4,0.0
115,4,0.0
146,4,0.5
795,4,0.0
262,4,0.25
623,4,0.25
986,4,0.0
605,3,0.0
147,3,0.0
23,3,0.6666666666666666
334,3,0.0
369,3,0.0
987,3,0.0
27,3,0.6666666666666666
990,3,0.0
110,3,0.0
803,3,0.0
871,3,0.0
164,3,0.0
904,3,1.0
914,3,0.0
V51,3,0.0
971,3,0.3333333333333333
838,3,0.0
448,3,0.0
36,3,0.0
580,3,0.3333333333333333
194,3,0.0
52,3,0.3333333333333333
880,3,0.0
363,3,0.0
879,3,0.0
240,3,0.0
691,3,0.0
632,3,0.0
700,3,0.0
669,3,0.0
653,3,0.0
665,3,0.0
365,2,0.0
848,2,0.0
V67,2,0.0
975,2,0.0
980,2,0.0
V26,2,0.0
973,2,0.5
422,2,0.0
417,2,0.0
610,2,0.0
634,2,0.0
7,2,0.0
703,2,0.0
582,2,0.0
732,2,0.0
684,2,0.0
615,2,0.0
E909,2,0.0
149,2,0.0
145,2,0.0
V66,2,0.0
645,2,0.0
279,2,0.5
657,2,0.0
690,2,0.0
58,2,0.0
299,2,1.0
834,2,0.0
84,2,0.0
375,2,0.0
48,2,0.5
875,2,0.0
170,2,0.0
941,2,0.0
735,2,0.0
75,2,0.0
325,2,0.0
542,2,0.0
246,2,0.0
216,2,0.0
229,2,0.0
878,2,0.0
523,1,0.0
219,1,0.0
347,1,1.0
318,1,0.0
314,1,0.0
791,1,0.0
543,1,1.0
61,1,0.0
217,1,0.0
637,1,0.0
250.51,1,0.0
57,1,0.0
649,1,0.0
704,1,0.0
698,1,0.0
V60,1,1.0
10,1,0.0
988,1,0.0
133,1,0.0
143,1,0.0
148,1,0.0
994,1,0.0
982,1,0.0
671,1,0.0
640,1,0.0
207,1,0.0
817,1,0.0
839,1,0.0
381,1,0.0
833,1,0.0
832,1,0.0
373,1,0.0
372,1,0.0
477,1,0.0
870,1,0.0
842,1,0.0
837,1,0.0
366,1,0.0
804,1,0.0
827,1,0.0
885,1,0.0
895,1,0.0
939,1,0.0
911,1,0.0
906,1,1.0
903,1,0.0
915,1,0.0
391,1,1.0
389,1,0.0
919,1,0.0
V07,1,0.0
957,1,0.0
160,1,0.0
471,1,0.0
V25,1,0.0
412,1,0.0
V43,1,0.0
97,1,0.0
974,1,1.0
98,1,0.0
976,1,0.0
V70,1,0.0
114,1,0.0
